id,Education_Level,Age_Group,Gender,Race,Offense_Type,Criminal_History_Category,Sentence_Length_months,Probation,Below_Guideline,Trial
8914,Some College,35-44,M,White,Child Pornography,IV,43,0,0,0
8915,Graduate Degree,55+,M,White,Money Laundering,I,36,1,1,0
8916,Undergraduate Degree,≤34,M,White,Child Pornography,II,41,0,0,0
8917,High School,≤34,M,White,Immigration,I,61,0,1,0
8918,Less than HS,35-44,M,Hispanic,Robbery,I,47,0,0,0
8919,High School,45-54,F,Other,Immigration,IV,73,0,1,0
8920,Undergraduate Degree,35-44,M,White,Sexual Abuse,I,48,0,0,0
8921,High School,55+,M,White,Fraud,IV,77,0,1,0
8922,Less than HS,≤34,M,Hispanic,Immigration,IV,68,0,0,0
8923,High School,≤34,M,Hispanic,Immigration,I,74,0,1,0
8924,Some College,55+,M,Other,Drug Trafficking,VI,58,0,1,0
8925,Less than HS,35-44,M,White,Firearms,IV,82,0,0,0
8926,High School,45-54,M,Other,Fraud,V,84,0,1,0
8927,High School,45-54,F,Other,Fraud,I,67,1,1,0
8928,High School,55+,M,Other,Firearms,I,50,0,0,0
8929,Less than HS,55+,M,White,Robbery,III,58,0,0,0
8930,High School,55+,M,Hispanic,Drug Trafficking,I,61,0,0,0
8931,Less than HS,≤34,M,White,Drug Trafficking,I,75,0,1,0
8932,High School,55+,M,Black,Firearms,I,52,0,0,0
8933,High School,45-54,M,Other,Fraud,I,46,0,1,0
8934,Some College,55+,M,Black,Drug Trafficking,I,67,0,1,0
8935,High School,55+,M,White,Fraud,III,46,0,0,0
8936,High School,45-54,M,Hispanic,Immigration,II,85,0,1,0
8937,High School,55+,M,White,Drug Trafficking,V,74,0,1,0
8938,Less than HS,≤34,M,Hispanic,Robbery,I,36,0,0,0
8939,Some College,≤34,F,Black,Fraud,III,38,0,0,0
8940,Some College,45-54,M,Hispanic,Child Pornography,I,54,0,0,0
8941,High School,45-54,M,Hispanic,Drug Trafficking,I,65,0,1,0
8942,Some College,55+,M,White,Fraud,IV,42,0,1,0
8943,Less than HS,≤34,M,Black,Fraud,IV,65,1,1,0
8944,Less than HS,≤34,M,Hispanic,Drug Trafficking,III,88,1,0,0
8945,Less than HS,35-44,M,Hispanic,Robbery,IV,57,0,0,0
8946,Less than HS,35-44,M,Black,Drug Trafficking,V,88,0,1,0
8947,Undergraduate Degree,35-44,F,Black,Sexual Abuse,I,42,0,1,0
8948,Some College,55+,M,Other,Drug Trafficking,III,47,0,1,0
8949,Less than HS,35-44,F,Black,Drug Trafficking,I,53,0,0,0
8950,Less than HS,35-44,M,Hispanic,Immigration,V,87,0,1,0
8951,Less than HS,35-44,M,Black,Immigration,III,61,0,0,0
8952,Less than HS,45-54,M,Hispanic,Robbery,VI,80,0,0,1
8953,Undergraduate Degree,45-54,M,Black,Drug Trafficking,VI,21,0,1,0
8954,High School,35-44,M,Black,Firearms,I,62,0,1,0
8955,High School,35-44,M,Black,Drug Trafficking,IV,87,0,1,0
8956,Less than HS,35-44,F,Hispanic,Firearms,V,62,0,0,0
8957,Less than HS,35-44,M,Hispanic,Firearms,III,48,0,0,0
8958,Less than HS,≤34,M,Hispanic,Drug Trafficking,I,34,0,0,0
8959,Some College,≤34,M,White,Drug Trafficking,I,56,0,1,0
8960,Graduate Degree,45-54,F,White,Drug Trafficking,I,14,0,0,0
8961,High School,≤34,M,White,Drug Trafficking,I,79,0,1,0
8962,High School,45-54,M,Hispanic,Firearms,VI,75,0,0,0
8963,Undergraduate Degree,55+,M,Black,Child Pornography,III,47,0,1,0
8964,High School,≤34,F,Other,Fraud,I,90,0,1,0
8965,Some College,45-54,F,White,Drug Trafficking,I,45,0,1,0
8966,High School,35-44,F,White,Immigration,IV,85,0,1,0
8967,High School,35-44,M,Hispanic,Drug Trafficking,IV,81,0,0,0
8968,Less than HS,≤34,F,White,Firearms,I,52,0,0,0
8969,High School,55+,F,White,Fraud,I,92,0,1,0
8970,Less than HS,≤34,M,Hispanic,Robbery,I,62,0,0,0
8971,Undergraduate Degree,45-54,M,Hispanic,Drug Trafficking,IV,50,0,0,0
8972,High School,45-54,F,White,Fraud,I,80,0,1,0
8973,High School,35-44,M,Other,Drug Trafficking,I,59,0,0,0
8974,Less than HS,≤34,F,Hispanic,Robbery,VI,52,0,1,0
8975,Graduate Degree,55+,M,White,Money Laundering,I,52,0,1,0
8976,Undergraduate Degree,35-44,F,White,Tax,I,29,0,1,0
8977,Undergraduate Degree,55+,M,Black,Drug Trafficking,III,54,0,1,0
8978,High School,35-44,M,Hispanic,Firearms,I,46,0,0,0
8979,Undergraduate Degree,55+,M,Hispanic,Money Laundering,VI,48,0,1,0
8980,Undergraduate Degree,35-44,F,White,Sexual Abuse,I,27,0,1,0
8981,Less than HS,≤34,M,Black,Robbery,I,59,0,0,0
8982,High School,≤34,M,Black,Drug Trafficking,IV,88,0,0,0
8983,Less than HS,≤34,F,White,Drug Trafficking,I,32,0,0,0
8984,Undergraduate Degree,≤34,F,White,Fraud,I,50,0,1,0
8985,Undergraduate Degree,≤34,F,Black,Tax,I,24,0,1,0
8986,High School,35-44,M,Other,Fraud,I,79,0,1,0
8987,High School,35-44,M,Other,Drug Trafficking,III,55,0,1,0
8988,Undergraduate Degree,35-44,M,Other,Sexual Abuse,I,36,0,0,0
8989,High School,45-54,M,Black,Drug Trafficking,I,82,0,0,0
8990,Some College,55+,M,Other,Immigration,VI,26,0,1,0
8991,Undergraduate Degree,35-44,F,Black,Money Laundering,I,24,0,1,0
8992,High School,45-54,M,Other,Firearms,V,58,0,1,0
8993,High School,≤34,M,White,Immigration,II,87,0,0,0
8994,High School,55+,M,Other,Drug Trafficking,V,103,1,0,0
8995,High School,35-44,M,White,Fraud,I,76,0,1,0
8996,High School,≤34,F,Black,Firearms,III,72,0,1,0
8997,Less than HS,≤34,M,White,Immigration,V,50,0,1,0
8998,High School,45-54,M,Hispanic,Fraud,IV,95,0,0,0
8999,High School,45-54,M,Other,Drug Trafficking,I,77,0,0,0
9000,Some College,45-54,F,Hispanic,Immigration,I,34,0,1,0
9001,High School,45-54,M,Hispanic,Fraud,III,44,0,0,0
9002,Undergraduate Degree,45-54,M,Other,Drug Trafficking,V,47,0,1,0
9003,High School,45-54,M,Black,Firearms,I,86,0,0,0
9004,High School,55+,M,White,Firearms,III,66,0,1,0
9005,High School,35-44,M,Hispanic,Drug Trafficking,I,56,0,1,0
9006,High School,35-44,M,Other,Drug Trafficking,II,70,0,1,0
9007,High School,35-44,M,Hispanic,Firearms,V,79,0,0,1
9008,Some College,55+,M,Other,Immigration,I,65,0,1,0
9009,Less than HS,≤34,M,Black,Firearms,I,67,1,1,0
9010,Some College,55+,M,Hispanic,Drug Trafficking,I,82,0,0,0
9011,Less than HS,45-54,M,Hispanic,Drug Trafficking,I,43,0,0,0
9012,High School,35-44,M,Hispanic,Fraud,I,53,0,1,0
9013,Less than HS,≤34,M,Other,Drug Trafficking,III,54,0,0,0
9014,High School,55+,M,Black,Firearms,I,80,1,1,0
9015,High School,45-54,M,Hispanic,Fraud,I,61,0,1,0
9016,Some College,45-54,F,Hispanic,Drug Trafficking,V,53,0,1,0
9017,High School,45-54,M,Hispanic,Drug Trafficking,I,84,0,0,0
9018,Less than HS,≤34,M,Black,Fraud,VI,43,0,0,0
9019,Undergraduate Degree,35-44,M,White,Money Laundering,I,54,1,0,0
9020,High School,45-54,F,White,Fraud,III,70,0,1,0
9021,Less than HS,35-44,M,Hispanic,Drug Trafficking,III,62,1,1,0
9022,High School,45-54,M,Black,Fraud,II,71,0,1,0
9023,Some College,35-44,M,White,Child Pornography,VI,40,0,0,0
9024,Less than HS,35-44,F,Hispanic,Fraud,I,36,0,1,0
9025,High School,55+,M,White,Drug Trafficking,II,61,0,1,0
9026,Some College,55+,M,Other,Fraud,VI,51,0,1,0
9027,High School,45-54,M,Black,Immigration,I,62,0,1,0
9028,High School,55+,M,Other,Immigration,I,52,0,1,0
9029,Less than HS,≤34,F,Hispanic,Fraud,IV,65,0,1,0
9030,High School,55+,M,Hispanic,Fraud,I,65,0,0,0
9031,High School,55+,M,Hispanic,Drug Trafficking,I,56,0,1,0
9032,High School,55+,M,White,Drug Trafficking,II,35,0,1,0
9033,High School,55+,M,Hispanic,Immigration,VI,64,1,0,0
9034,High School,55+,M,Black,Drug Trafficking,I,62,0,1,0
9035,High School,45-54,M,White,Immigration,IV,71,0,0,0
9036,Less than HS,≤34,F,White,Fraud,I,52,0,0,0
9037,High School,55+,M,Hispanic,Immigration,I,62,0,1,0
9038,Some College,55+,M,Other,Immigration,I,38,0,1,0
9039,Some College,45-54,M,Black,Drug Trafficking,III,49,0,0,0
9040,High School,55+,F,Hispanic,Firearms,III,67,0,1,0
9041,Some College,≤34,M,Other,Immigration,I,74,0,1,0
9042,High School,45-54,M,Other,Drug Trafficking,IV,61,0,0,0
9043,Less than HS,≤34,M,Black,Immigration,I,39,1,1,0
9044,Undergraduate Degree,≤34,F,Black,Sexual Abuse,I,56,0,1,0
9045,Less than HS,35-44,M,Black,Immigration,V,66,0,1,0
9046,High School,35-44,M,Black,Immigration,III,69,0,0,0
9047,Less than HS,45-54,M,White,Drug Trafficking,V,63,0,1,0
9048,Some College,35-44,M,Black,Fraud,I,27,0,0,0
9049,Some College,45-54,M,White,Firearms,I,72,0,0,0
9050,High School,35-44,M,Hispanic,Immigration,II,61,0,0,0
9051,High School,55+,M,White,Drug Trafficking,V,63,0,0,0
9052,High School,35-44,F,Hispanic,Fraud,IV,84,0,1,0
9053,Less than HS,45-54,M,Other,Firearms,I,69,0,0,0
9054,Some College,35-44,M,Black,Immigration,V,45,0,1,0
9055,High School,35-44,M,Hispanic,Drug Trafficking,II,67,0,0,0
9056,High School,35-44,M,Other,Firearms,III,68,0,1,0
9057,High School,≤34,M,White,Fraud,I,49,0,0,0
9058,High School,55+,M,White,Drug Trafficking,II,61,0,1,0
9059,Less than HS,35-44,M,Hispanic,Drug Trafficking,I,57,0,1,0
9060,High School,55+,F,White,Immigration,III,95,0,1,0
9061,Some College,35-44,F,Other,Firearms,V,41,0,0,0
9062,High School,≤34,M,Hispanic,Drug Trafficking,VI,81,1,0,0
9063,Less than HS,≤34,M,White,Drug Trafficking,VI,64,0,0,0
9064,High School,35-44,M,Hispanic,Drug Trafficking,I,54,0,0,0
9065,High School,45-54,F,White,Firearms,I,71,0,1,0
9066,Less than HS,≤34,F,Hispanic,Robbery,VI,70,0,1,0
9067,High School,45-54,F,Black,Immigration,I,45,0,1,0
9068,Undergraduate Degree,55+,M,White,Fraud,I,44,1,1,0
9069,High School,35-44,M,White,Fraud,III,68,0,1,0
9070,Some College,55+,M,Other,Fraud,VI,50,1,0,0
9071,High School,≤34,M,White,Firearms,III,66,0,0,0
9072,Some College,55+,M,Black,Immigration,I,67,0,1,0
9073,Some College,45-54,M,White,Drug Trafficking,I,48,0,1,0
9074,Less than HS,55+,F,Hispanic,Firearms,V,60,0,1,0
9075,High School,55+,M,White,Firearms,I,62,0,0,0
9076,High School,45-54,M,Hispanic,Immigration,I,71,1,0,0
9077,High School,35-44,F,White,Immigration,II,83,0,1,0
9078,High School,35-44,M,White,Fraud,I,87,0,1,0
9079,High School,45-54,M,White,Fraud,II,64,0,0,0
9080,High School,55+,M,Hispanic,Immigration,IV,52,0,0,0
9081,Less than HS,35-44,M,White,Firearms,VI,49,0,0,0
9082,Some College,45-54,M,Black,Fraud,III,39,0,1,0
9083,High School,45-54,M,White,Drug Trafficking,VI,57,0,0,0
9084,Undergraduate Degree,55+,M,White,Drug Trafficking,I,34,0,1,0
9085,High School,35-44,M,Hispanic,Drug Trafficking,IV,84,0,1,0
9086,High School,45-54,M,Black,Immigration,I,61,0,0,0
9087,Some College,55+,M,Hispanic,Fraud,IV,35,0,1,0
9088,Less than HS,35-44,M,White,Fraud,I,71,0,0,0
9089,Undergraduate Degree,35-44,M,Other,Sexual Abuse,I,51,0,1,0
9090,Some College,45-54,M,Black,Drug Trafficking,IV,63,0,0,0
9091,Less than HS,≤34,M,Black,Robbery,I,100,0,0,0
9092,Some College,≤34,M,White,Child Pornography,VI,65,0,0,0
9093,Less than HS,≤34,M,Hispanic,Immigration,I,58,0,0,0
9094,High School,45-54,F,Black,Drug Trafficking,I,49,0,1,0
9095,Some College,55+,F,Hispanic,Child Pornography,III,60,0,0,0
9096,High School,35-44,M,White,Immigration,III,77,0,0,0
9097,Less than HS,55+,M,White,Fraud,V,74,0,0,0
9098,Undergraduate Degree,35-44,M,White,Sexual Abuse,I,46,0,1,0
9099,High School,55+,M,Other,Firearms,IV,81,1,0,0
9100,Some College,35-44,M,Hispanic,Fraud,II,38,0,1,0
9101,High School,≤34,M,Other,Drug Trafficking,IV,52,0,0,0
9102,High School,35-44,M,Other,Firearms,I,67,0,0,0
9103,High School,≤34,M,White,Fraud,II,47,0,1,0
9104,Less than HS,45-54,F,Hispanic,Drug Trafficking,V,53,0,0,0
9105,High School,45-54,F,Black,Drug Trafficking,II,59,0,1,0
9106,Less than HS,35-44,M,Hispanic,Drug Trafficking,VI,60,0,0,0
9107,Less than HS,≤34,M,White,Fraud,I,43,0,0,0
9108,High School,45-54,F,Other,Drug Trafficking,I,72,0,0,0
9109,High School,≤34,M,Other,Immigration,I,56,0,0,0
9110,Less than HS,≤34,M,Black,Firearms,V,54,0,1,0
9111,High School,≤34,M,Other,Firearms,III,74,0,0,0
9112,Less than HS,≤34,F,Hispanic,Firearms,IV,37,1,0,0
9113,High School,35-44,M,White,Fraud,VI,52,0,0,0
9114,High School,45-54,M,Other,Immigration,I,82,0,1,0
9115,High School,45-54,M,White,Firearms,I,77,0,1,0
9116,Undergraduate Degree,≤34,M,White,Money Laundering,I,35,0,0,0
9117,High School,≤34,M,Hispanic,Firearms,III,67,0,1,0
9118,Less than HS,≤34,M,Hispanic,Drug Trafficking,I,55,0,0,0
9119,High School,55+,M,Hispanic,Firearms,II,72,0,0,0
9120,High School,35-44,M,Hispanic,Fraud,V,89,0,1,0
9121,Less than HS,≤34,M,Other,Drug Trafficking,I,50,0,1,0
9122,Less than HS,≤34,M,Hispanic,Firearms,II,69,0,0,0
9123,Less than HS,45-54,M,Black,Immigration,IV,51,0,1,0
9124,Less than HS,≤34,F,White,Drug Trafficking,IV,46,0,0,0
9125,High School,35-44,F,White,Firearms,I,54,0,0,0
9126,High School,45-54,M,Hispanic,Immigration,V,66,0,1,0
9127,Some College,35-44,M,Other,Firearms,I,43,0,1,0
9128,Less than HS,≤34,F,Other,Robbery,VI,48,0,1,0
9129,Less than HS,35-44,M,Black,Firearms,I,57,1,0,0
9130,High School,≤34,M,Black,Drug Trafficking,III,61,0,1,0
9131,High School,35-44,M,White,Firearms,II,93,0,1,0
9132,High School,35-44,M,Hispanic,Firearms,I,59,0,0,0
9133,Less than HS,≤34,M,Black,Fraud,III,55,0,0,0
9134,Less than HS,≤34,M,Hispanic,Firearms,II,29,0,1,0
9135,High School,55+,M,Other,Fraud,I,70,0,1,0
9136,High School,45-54,F,Hispanic,Firearms,I,82,0,1,0
9137,Undergraduate Degree,≤34,M,White,Child Pornography,I,46,0,0,0
9138,High School,35-44,M,Hispanic,Immigration,V,48,0,0,0
9139,High School,35-44,M,Other,Immigration,I,66,0,1,0
9140,High School,55+,M,White,Firearms,VI,87,0,0,0
9141,Undergraduate Degree,45-54,M,Black,Fraud,I,45,0,1,0
9142,High School,≤34,M,Black,Immigration,VI,60,0,1,0
9143,High School,45-54,M,Hispanic,Firearms,I,59,0,1,0
9144,High School,35-44,M,Other,Fraud,VI,65,0,0,0
9145,Some College,45-54,M,Other,Immigration,VI,61,0,1,0
9146,High School,≤34,F,White,Firearms,II,69,0,1,0
9147,Undergraduate Degree,35-44,M,Hispanic,Sexual Abuse,IV,56,0,1,0
9148,High School,35-44,F,Hispanic,Immigration,II,75,0,1,0
9149,Less than HS,≤34,M,Black,Immigration,V,61,0,1,0
9150,Less than HS,≤34,M,White,Immigration,IV,66,0,0,0
9151,Less than HS,≤34,F,Hispanic,Fraud,II,71,0,1,0
9152,Less than HS,≤34,M,Hispanic,Immigration,II,48,0,1,0
9153,Some College,55+,M,Black,Drug Trafficking,I,40,0,1,0
9154,Less than HS,35-44,F,Black,Drug Trafficking,I,65,0,0,0
9155,Less than HS,≤34,M,Black,Robbery,VI,56,0,1,0
9156,Less than HS,≤34,M,Black,Firearms,VI,76,0,0,0
9157,High School,35-44,M,Other,Drug Trafficking,I,61,0,1,0
9158,Undergraduate Degree,45-54,M,Hispanic,Child Pornography,I,39,0,1,0
9159,High School,55+,M,Other,Fraud,V,66,0,1,0
9160,Undergraduate Degree,55+,M,Hispanic,Fraud,I,34,0,1,0
9161,High School,35-44,M,Hispanic,Fraud,I,81,0,1,0
9162,Some College,35-44,M,White,Immigration,IV,55,0,1,0
9163,High School,35-44,M,Black,Fraud,IV,67,0,1,0
9164,Less than HS,≤34,M,Black,Robbery,II,44,0,1,0
9165,High School,45-54,F,Hispanic,Firearms,IV,77,0,0,0
9166,High School,≤34,M,Other,Drug Trafficking,I,96,0,1,0
9167,Undergraduate Degree,35-44,M,Hispanic,Fraud,I,23,0,0,0
9168,Less than HS,≤34,M,Black,Fraud,V,54,0,1,0
9169,Less than HS,≤34,F,Black,Robbery,IV,113,0,0,0
9170,Less than HS,35-44,M,Black,Fraud,III,29,0,1,0
9171,Some College,55+,M,Hispanic,Immigration,II,32,0,0,0
9172,High School,≤34,M,Black,Drug Trafficking,V,49,0,1,0
9173,Less than HS,≤34,M,White,Immigration,IV,51,0,1,0
9174,High School,≤34,M,Black,Immigration,I,43,0,1,0
9175,Graduate Degree,45-54,M,White,Tax,I,49,0,1,0
9176,High School,≤34,M,Other,Firearms,V,41,0,0,0
9177,Some College,35-44,M,Hispanic,Fraud,II,36,0,1,0
9178,Less than HS,35-44,F,Black,Immigration,I,62,0,0,0
9179,Less than HS,≤34,M,White,Immigration,VI,57,0,1,0
9180,High School,55+,M,Other,Firearms,I,51,0,0,0
9181,High School,45-54,M,Other,Fraud,II,57,0,0,0
9182,Some College,55+,M,Hispanic,Fraud,I,49,0,1,0
9183,High School,55+,M,White,Immigration,I,78,0,0,0
9184,Undergraduate Degree,45-54,F,White,Child Pornography,I,22,0,1,0
9185,High School,35-44,F,Other,Immigration,VI,49,0,0,0
9186,High School,≤34,M,Hispanic,Immigration,VI,72,0,0,0
9187,High School,35-44,M,Black,Immigration,II,55,0,0,0
9188,Less than HS,≤34,M,Hispanic,Fraud,II,59,0,0,0
9189,High School,55+,M,White,Immigration,I,56,0,1,0
9190,Less than HS,≤34,M,Hispanic,Firearms,I,49,0,1,0
9191,Less than HS,≤34,M,Black,Drug Trafficking,VI,48,0,1,0
9192,Less than HS,≤34,M,Black,Drug Trafficking,I,46,0,1,0
9193,Less than HS,≤34,M,Hispanic,Drug Trafficking,V,80,0,1,0
9194,High School,55+,F,Other,Immigration,VI,31,0,0,0
9195,Some College,35-44,F,Hispanic,Immigration,I,54,0,1,0
9196,Some College,45-54,M,Hispanic,Immigration,I,58,0,1,0
9197,Some College,45-54,M,Other,Immigration,V,65,1,1,0
9198,High School,45-54,M,Hispanic,Fraud,I,37,0,1,0
9199,High School,55+,M,Black,Immigration,I,63,0,1,0
9200,Undergraduate Degree,35-44,F,White,Money Laundering,I,45,0,0,0
9201,High School,55+,M,Hispanic,Drug Trafficking,V,50,0,1,0
9202,High School,55+,M,Hispanic,Drug Trafficking,IV,91,0,0,0
9203,High School,≤34,M,White,Fraud,II,66,0,1,0
9204,Less than HS,35-44,M,Hispanic,Robbery,VI,85,0,1,0
9205,Less than HS,55+,M,Hispanic,Drug Trafficking,V,68,0,0,0
9206,Less than HS,35-44,M,White,Firearms,VI,42,0,0,0
9207,Less than HS,≤34,F,Black,Robbery,III,84,0,0,0
9208,High School,≤34,M,Hispanic,Fraud,IV,55,0,0,0
9209,High School,45-54,M,Other,Firearms,I,90,0,1,0
9210,High School,≤34,F,Hispanic,Immigration,I,60,0,1,0
9211,High School,45-54,M,Black,Immigration,IV,65,0,1,0
9212,High School,35-44,M,Hispanic,Drug Trafficking,VI,93,0,0,0
9213,High School,55+,M,White,Immigration,V,65,0,1,0
9214,High School,35-44,M,Black,Drug Trafficking,I,51,0,0,0
9215,High School,35-44,M,Other,Immigration,V,75,0,1,0
9216,Some College,55+,M,White,Firearms,V,39,0,1,0
9217,Less than HS,≤34,M,Black,Immigration,I,43,0,1,0
9218,High School,55+,M,Other,Drug Trafficking,III,41,0,0,0
9219,High School,45-54,M,Other,Fraud,IV,86,0,0,0
9220,High School,≤34,F,Other,Firearms,II,51,0,1,0
9221,Less than HS,≤34,M,Hispanic,Drug Trafficking,IV,68,1,1,0
9222,High School,45-54,M,Hispanic,Immigration,VI,82,0,0,0
9223,High School,≤34,M,Hispanic,Immigration,I,41,0,1,0
9224,Less than HS,≤34,M,Hispanic,Firearms,VI,1,0,0,0
9225,Undergraduate Degree,≤34,M,White,Tax,I,40,0,1,0
9226,High School,35-44,F,Hispanic,Drug Trafficking,I,68,0,0,0
9227,Undergraduate Degree,≤34,M,Other,Child Pornography,III,53,0,1,1
9228,Undergraduate Degree,55+,F,Hispanic,Drug Trafficking,I,51,0,1,0
9229,Less than HS,35-44,M,Black,Robbery,VI,35,0,0,0
9230,Some College,≤34,F,Other,Drug Trafficking,I,39,0,1,0
9231,High School,35-44,M,White,Fraud,IV,88,0,0,0
9232,Less than HS,35-44,M,Hispanic,Immigration,V,49,0,1,0
9233,High School,≤34,F,Black,Fraud,IV,63,0,1,0
9234,High School,55+,M,Hispanic,Drug Trafficking,II,63,0,0,0
9235,Less than HS,≤34,F,Hispanic,Firearms,III,65,0,1,0
9236,Undergraduate Degree,45-54,M,Black,Child Pornography,I,33,0,1,0
9237,High School,55+,M,Other,Fraud,II,66,0,0,0
9238,High School,55+,M,Black,Drug Trafficking,I,87,0,1,0
9239,High School,55+,M,Black,Firearms,I,49,1,1,0
9240,High School,55+,M,Other,Immigration,II,95,0,1,0
9241,Undergraduate Degree,≤34,M,Hispanic,Sexual Abuse,I,65,0,0,0
9242,High School,35-44,M,White,Immigration,VI,84,0,0,0
9243,High School,45-54,F,White,Fraud,I,58,0,0,0
9244,Undergraduate Degree,≤34,M,Hispanic,Drug Trafficking,I,51,0,1,0
9245,High School,≤34,M,Black,Fraud,I,58,0,0,0
9246,Some College,35-44,M,White,Child Pornography,I,70,0,1,0
9247,Undergraduate Degree,45-54,M,Black,Tax,I,20,1,0,0
9248,Graduate Degree,55+,M,White,Tax,I,35,0,0,0
9249,Undergraduate Degree,≤34,M,White,Fraud,I,69,0,1,0
9250,Undergraduate Degree,≤34,M,White,Child Pornography,I,45,0,1,0
9251,Less than HS,35-44,M,White,Fraud,II,71,0,1,0
9252,High School,35-44,M,Black,Fraud,V,57,0,1,0
9253,High School,35-44,M,Hispanic,Drug Trafficking,III,75,0,1,0
9254,Less than HS,≤34,M,Black,Drug Trafficking,I,56,0,0,0
9255,Less than HS,35-44,M,Black,Firearms,I,69,0,1,0
9256,Less than HS,≤34,M,Black,Fraud,VI,23,0,0,0
9257,Undergraduate Degree,35-44,M,White,Sexual Abuse,I,20,0,0,0
9258,Graduate Degree,55+,F,Other,Child Pornography,I,40,1,1,0
9259,High School,35-44,F,Other,Drug Trafficking,I,87,0,1,0
9260,Some College,≤34,M,Hispanic,Immigration,V,80,0,1,0
9261,High School,45-54,M,White,Immigration,VI,67,0,0,0
9262,High School,≤34,F,White,Fraud,II,65,0,0,0
9263,High School,35-44,M,Other,Fraud,III,84,0,1,0
9264,Less than HS,35-44,M,Black,Firearms,V,59,1,0,0
9265,Some College,35-44,F,Hispanic,Firearms,I,62,0,0,0
9266,High School,45-54,M,White,Immigration,V,56,0,1,0
9267,Some College,45-54,M,White,Child Pornography,VI,47,0,0,0
9268,Less than HS,35-44,M,Hispanic,Robbery,V,39,0,1,0
9269,High School,55+,M,White,Fraud,I,54,0,1,0
9270,Less than HS,≤34,M,White,Drug Trafficking,VI,68,0,0,0
9271,Undergraduate Degree,45-54,M,Black,Child Pornography,I,35,0,0,0
9272,Some College,45-54,M,White,Fraud,III,45,0,0,0
9273,High School,35-44,M,Black,Drug Trafficking,IV,61,0,0,0
9274,Undergraduate Degree,55+,F,Hispanic,Money Laundering,VI,17,0,1,0
9275,High School,35-44,M,Other,Immigration,I,62,0,0,0
9276,High School,45-54,M,Black,Fraud,V,96,0,1,1
9277,High School,35-44,F,White,Fraud,IV,73,0,0,0
9278,High School,≤34,M,White,Immigration,IV,69,0,0,0
9279,High School,45-54,M,Hispanic,Fraud,I,78,0,1,0
9280,Undergraduate Degree,35-44,M,Other,Child Pornography,I,30,1,1,0
9281,Some College,35-44,M,Hispanic,Child Pornography,III,27,0,1,0
9282,Undergraduate Degree,35-44,M,White,Money Laundering,I,78,0,1,0
9283,High School,45-54,M,Black,Immigration,I,63,0,0,0
9284,High School,≤34,M,White,Fraud,I,98,0,1,0
9285,High School,55+,M,Black,Fraud,V,71,0,1,0
9286,High School,45-54,M,White,Immigration,V,72,0,0,0
9287,High School,55+,M,Black,Immigration,V,69,0,1,0
9288,Less than HS,35-44,M,Black,Firearms,IV,73,0,1,0
9289,High School,35-44,F,White,Immigration,II,37,1,0,0
9290,High School,45-54,M,Black,Firearms,III,74,0,0,0
9291,High School,≤34,F,Hispanic,Firearms,I,78,1,0,0
9292,High School,45-54,M,Other,Fraud,III,81,0,1,0
9293,High School,≤34,M,Other,Fraud,I,71,0,0,0
9294,Less than HS,≤34,M,Hispanic,Firearms,II,42,0,0,0
9295,Undergraduate Degree,35-44,F,White,Child Pornography,I,31,0,1,0
9296,High School,≤34,M,White,Fraud,V,67,0,1,0
9297,High School,55+,M,Hispanic,Drug Trafficking,I,96,0,1,0
9298,High School,≤34,M,White,Immigration,VI,61,1,0,0
9299,Undergraduate Degree,35-44,M,Hispanic,Child Pornography,I,44,0,0,1
9300,High School,≤34,F,White,Fraud,I,63,1,1,0
9301,High School,55+,M,White,Firearms,VI,53,0,1,0
9302,High School,45-54,M,Other,Fraud,III,83,1,0,0
9303,Undergraduate Degree,45-54,M,Hispanic,Tax,I,53,0,1,0
9304,Some College,35-44,M,Black,Firearms,I,47,0,1,0
9305,High School,55+,M,White,Drug Trafficking,II,59,0,1,0
9306,Some College,45-54,M,Black,Fraud,I,59,0,1,0
9307,High School,45-54,F,Black,Drug Trafficking,VI,83,0,1,0
9308,High School,35-44,M,White,Firearms,VI,49,0,1,0
9309,High School,55+,M,White,Immigration,I,77,0,0,0
9310,Some College,≤34,M,Hispanic,Drug Trafficking,III,62,0,1,0
9311,Less than HS,≤34,F,Black,Immigration,I,36,0,0,0
9312,Some College,≤34,M,Other,Firearms,I,59,0,0,0
9313,Less than HS,≤34,M,Black,Drug Trafficking,II,56,0,0,0
9314,Some College,35-44,M,Hispanic,Immigration,I,77,0,0,0
9315,Undergraduate Degree,≤34,M,Black,Fraud,III,56,0,1,0
9316,Less than HS,≤34,M,Hispanic,Immigration,V,62,0,0,0
9317,Less than HS,≤34,F,White,Fraud,I,36,0,0,0
9318,Less than HS,≤34,M,Hispanic,Robbery,IV,39,0,1,0
9319,High School,45-54,M,White,Fraud,I,65,0,1,1
9320,High School,55+,F,Other,Immigration,I,52,0,1,0
9321,Undergraduate Degree,≤34,M,Black,Child Pornography,I,60,0,1,1
9322,High School,≤34,M,White,Drug Trafficking,VI,38,0,1,0
9323,Some College,45-54,M,Other,Child Pornography,I,52,1,1,0
9324,Undergraduate Degree,≤34,M,Other,Sexual Abuse,I,61,0,1,0
9325,Less than HS,35-44,M,Black,Robbery,I,71,0,0,0
9326,Less than HS,≤34,M,Hispanic,Fraud,I,57,0,1,0
9327,High School,45-54,M,Black,Firearms,VI,56,0,1,0
